,features,categorical_target_1,categorical_target_2,continuous_target_1,continous_target_2
7048,This wine is somewhat diluted and one-dimensional. It makes a straightforward attempt at bringing a richness of apple and anise to the fore around neutral oak dynamics before finishing ripe and full.,US,Chardonnay,84,18.0
39235,"Very oaky, very buttery, very posh in texture, this wine takes the spicy richness of oak-barrel fermentation and aging to a high level. It's not at all shy about the toast, caramel and baking-spice flavors, with a mouthcoating texture that helps those accents linger on the finish.",US,Chardonnay,89,30.0
51634,"Spicy cardamom is part of the package here, where a robust flavoring of pomegranate and wild strawberry shine brightest. Smooth and tart, this medium-bodied wine is complex in additional elements of freshly tilled soil and black tea.",US,Pinot Noir,93,55.0
109838,"Nacional Vintage Port comes from a small parcel of ungrafted vines on a series of terraces at the Noval estate. It is a legendary wine, produced only occasionally. This wine is still impressively young and shows that it will age for decades. With its dark black fruits and succulent tannins, it is powerful and concentrated. Drink this wine from 2021 and for many years.",Portugal,Port,98,595.0
1912,"For lovers of red sparkling wine with its attendant tannins, this is a fine example. It has a definite Pinot Noir farmyard character along with tannins, a touch of smokiness, and a definite need for food.",Austria,Pinot Noir,87,32.0
7812,"Sourced largely from Red Mountain fruit, this includes 18% Merlot in the blend. It's toasty and ripe, with the barrel flavors most evident in both nose and palate. The Cabernet fruit is mild and lightly peppery, berry and cranberry mostly. There is plenty of chocolate, toast, coffee and smoke as well, presumably from aging 20 months in oak.",US,Cabernet Sauvignon,87,35.0
53482,"It's quite tannic, as is to be expected from this founding Red Mountain vineyard, and yet the wine seems smoothed over, buffed out. The black cherry and cassis fruit does not penetrate. Drink up.",US,Cabernet Sauvignon,87,60.0
93755,"A blend of Cabernet Sauvignon, Merlot and Cabernet Franc, this wine offers subtle, beguiling aromas of coffee, herbs, barrel spice, pencil lead and cherry. The cranberry and cherry flavors are tart and focused, putting a focus on elegance.",US,Bordeaux-style Red Blend,91,50.0
76258,"The best thing about this Chardonnay is the acidity. It provides a crisp counterpoint to the fruit and oak, which combine to flood the mouth with vanilla, buttered toast, honey, Meyer lemon, pineapple and nectarine flavors. Great to drink now with elaborate scallop and crab dishes.",US,Chardonnay,87,40.0
77015,"Made, very unusually for the Douro, from Sémillon, this botrytis affected wine gives ripe dried apricot and white fig flavors, boosted by the dry core of botrytis, and finishing with acidity. Definitely unexpected, but it succeeds well.",Portugal,Sémillon,88,
110320,"This is a small property under the same ownership as Château du Cartillon in the Haut-Médoc. The wine is ripe, juicy and with delicious blackberry fruits. It has a dark core of tannins ready to push the wine forward as it ages. It will certainly need time, so wait until 2021.",France,Bordeaux-style Red Blend,91,65.0
18571,"A strong Zinfandel, tannic, high in alcohol and fruity, and brimming with wild forest cherry and raspberry liqueur, exotic spices and sweet sandalwood. Drink it with a juicy cheeseburger, a spicy beef burrito and just a nice roast chicken.",US,Zinfandel,86,22.0
92660,"A smooth and ripe blend of Viosinho, Rabigato and Gouvelo, the wine has attractive, smooth apple and pear flavors as well as tangy acidity. With its light touch of acidity at the end, the wine is delicious and ready to drink.",Portugal,Portuguese White,88,9.0
32742,"This is a rich, juicy, solid wine. The tannins of the Tannat have been mitigated by the more juicy Cabernets in the blend to give a structured while fruity wine. The black fruits and the intense acidity promise aging. Drink from 2018.",France,Tannat-Cabernet,90,14.0
45887,"This is the first Cabernet Sauvignon release from Meomi founder Joe Wagner. Sourced from vineyards across the appellation, it shows simple yet focused dark cherry and chocolate flavors, dusty tannin and subtle oak, within a framework of moderate acidity and ripeness.",US,Cabernet Sauvignon,86,45.0
56244,"Herbal plum and berry aromas are gamy almost to an extreme. This multigrape blend has a lot of Syrah and Carmenère in it, and that shows. The palate is muscular in feel, and quite meaty and rustic in flavors, with tastes of olive and beef jerky. A blackened finish is more dark and oaky than fruity.",Chile,Red Blend,91,35.0
15476,"Blended with 12% Cabernet Sauvignon and 8% Syrah, this medium-bodied, soft and juicy red offers notions of berry pie and dusty leather, as backbeats of chocolate and blackberry play on the palate. With an intensely lengthy finish marked by clove this wine is memorably inviting.",US,Merlot,90,28.0
108648,"The 2010 Ornellaia celebrates the wine's 25th anniversary, and it could not have been a more spectacular vintage. It opens with aromas of crushed blue flowers, black berries, pipe tobacco and thyme that give way to an elegant, structured and polished palate. It delivers intense blackberry flavors layered with white pepper, Mediterranean herbs, mineral and mocha brightened by fresh acidity alongside smooth, velvety tannins. This will age and develop for decades. Drink 2016–2040.",Italy,Red Blend,97,240.0
99608,"From winemaker Michael Zinke, this is yet another stylish Rhône-style blend. Aromas of boysenberry, plum, tar, black peppercorn and lavender delicately lay across the nose. The palate presents very judiciously and evenly, with dried purple flowers, black tea, slight teriyaki and just a touch of plum.",US,Rhône-style Red Blend,92,38.0
12278,"This is the 33rd vintage of this landmark Zinfandel, which, since it's a blend that includes just 74% Zinfandel in it, isn't technically Zinfandel at all. Whatever. It's just plain delicious, old-vine, succulent juice. Jammy, juicy, vibrant and tight, it has a long life ahead.",US,Zinfandel,90,30.0
8971,"The aromas draw you in with notes of kiwi, pineapple and mango. Brown sugar and tropical fruit flavors are intensely sweet and rich, with an unctuous feel.",US,Chenin Blanc,93,25.0
61149,"A terrific value if you can find it (alas, only 150 cases were imported), this is full bodied and richly textured, marrying hints of peppery spice with grilled lavender and rosemary that perfectly season the beach cherry and mocha flavors. It's stout, tannic and mouth coating on the finish, ideal for matching with roasts or steaks. Drink 2018–2025.",Australia,Cabernet Sauvignon,91,15.0
48492,"Yellowish to tan in color, this young wine is already showing signs of age, but get it early and you'll find creamy but sturdy flavors of squash, kumquat and peach. There's oak in support and plenty of personality. Whether that personality is universally appealing, however, is doubtful.",Argentina,Chardonnay,86,17.0
100908,"Aromas of dark berry, rubber and a smoky quality define the bouquet. It feels nice, with a slight tannic grab and likable flavors of red berry and pepper. Short on the finish, but it's fresh and clean.",Argentina,Malbec,87,
76388,"Lime peels and lemon pith mix it up with rain on cement, lemongrass, kaffir lime leaf, ocean-spray saltiness and a lemon-pepper spice on the nose of this wine from the appellation's first vineyard. The palate is reminiscent of a perfectly restrained margarita, with the warmth of sea salt, the pungency of squeezed caviar limes and the body of lemon curds, topped with a sprig of mint.",US,Chardonnay,95,55.0
47244,"Generic, yeasty white-fruit aromas are reasonably fresh and inoffensive but fall off with time in the glass. This tastes pithy and slightly bitter, with a grapefruit citrus character to the front palate and finish.",Spain,Viura,84,11.0
113264,"Soft, supple and seductive, Modà is a simple wine that is propped up by notes of mature cherry fruit, spice and tobacco. It's easy in the mouth, with a rich, velvety texture.",Italy,Montepulciano,87,10.0
1344,"Spanish broom, yellow stone fruit and citrus zest aromas take shape in the glass. Lively acidity carries juicy nectarine, intense lemon, thyme, pineapple and Mediterranean herb flavors into the round, juicy finish.",Italy,Grillo,90,18.0
67595,"This pale salmon-pink bubbly opens with frothy bubbles and an inviting note of hard candy. A rounded strawberry flavor unfolds on the palate and finishes dry, making this a lively, ideal party wine that will please many.",Austria,Sparkling Blend,88,24.0
87389,"Berry, dried sage, licorice and menthol aromas lead the nose. The warm, one-dimensional palate offers toasted oak, coconut, spirit-soaked prune and vanilla alongside sharp, astringent tannins.",Italy,Sangiovese,86,85.0
5883,"Made from fruit selected across this southern Burgundy appellation, this wine has a touch of minerality and more attractive white fruit. It's rich, soft, full-bodied and fruity. Drink now.",France,Chardonnay,88,24.0
115681,"Extended maceration on the skins combined with two years of oak aging lends layers of savory spice and smoke to this unusual dry Riesling. Pops of fresh apple and pear brighten the palate, but are accompanied by twists of bitter herbs and grass. Finishes briskly.",US,Riesling,87,21.0
122335,"Truffle, fig, underbrush, toast and chopped mint aromas emerge in the glass along with a whiff of cocoa. The firm palate shows dried black cherry, cinnamon, clove and star anise alongside assertive tannins that need to unwind. Drink 2018–2024.",Italy,Nebbiolo,91,53.0
122371,"An interesting experiment, this Pinot Gris is fermented on the skins, then aged in neutral oak for six months. It's a pale rose color, and the skin contact has resulted in some quite puckery phenolics. The barrel aging helps round it out, though it remains almost sour, with light, astringent strawberry fruit.",US,Pinot Gris,86,20.0
30931,"Deeply flavored, dense and toasty, this full-throttle bottle punches up flavors of cherries and roasted walnuts. Tannins are thick and have a hint of char, and the big flavors are all in proportion.",US,Pinot Noir,91,39.0
68497,"This broad, ripe wine has plenty of ripe red fruits but the minimum of structure. It is soft, generous and ready to drink. Much of the hand-picked production is from old vines on a 45-degree slope.",France,Gamay,86,12.0
106296,"Calera's basic Central Coast Pinot is a good, drily crisp wine, showing some real elegance. A little heavy, it shows cherry, red currant, herb, tobacco, teriaki beef and sandalwood flavors. Drink now. More than 12,000 cases were produced.",US,Pinot Noir,87,24.0
18754,"DTR is Domaine de la Terre Rouge's home site, planted in 1999, and its coolest. Given that, the aromas suggest more ripeness than would be expected, a heady mix of plum and brambly berry, with an undertone of minerality that keeps things zipping along.",US,Syrah,88,40.0
23049,"A wine with some structure, firm tannins and attractive black cherry and spice flavors. The wine has good weight and a dense texture that promises medium-term aging.",France,Gamay,88,
125215,"A blend from a wider area than just Côtes de Provence, the wine is lightly spicy, full of red fruits and citrus acidity. There is a typical touch of pepper that adds extra interest to what is a refreshing wine.",France,Rosé,85,13.0
60967,"Warmth and mocha greet you, but dig as you might it's hard to settle on any particular fruit aromas or flavors. There is, however, plenty of cola, rooty flavors and baked characteristics. Finishes almost hot, with sticky tannins and a sprig of green. Drink now through 2009.",Spain,Tempranillo,86,15.0
110192,Old vines are the source of this ripe tropical-fruit-flavored wine. It is concentrated and dense with a flinty texture that is taut and nervy. There is a crisp aftertaste that gives the wine its delicious lift. Drink the wine now.,France,Sauvignon Blanc,91,35.0
75520,"Brooding aromas of blackberry seed, black currant and licorice are followed by a full-bodied palate, with a tight core of dark-fruit flavors supported by fine-grained tannins. It's near irresistible, showing impeccable styling.",US,Merlot,93,55.0
54269,"From one of Amarone's premier producers, this delicious Amarone delivers generous black cherry flavors, with hints of raisin, white pepper, nutmeg and chocolate. It's soft and round, with smooth, velvety tannins and compelling intensity.",Italy,Red Blend,94,63.0
96984,"At first shy on the nose, this opens to reveal baking spice and dried violet aromas. A tobacco note underscores its mature black plum and ripe blackberry flavors while smooth tannins offer easygoing support. Drink through 2019.",Italy,Barbera,87,35.0
49102,"This easy-drinking wine opens with aromas of ripe blackberry, blueberry and cooking spices. The palate offers one-dimensional but delicious blackberry and black cherry along with notes of black pepper. It's soft, round and ready to drink.",Italy,Red Blend,87,25.0
111209,"This tastes of warmer Russian River Valley climes, darker and riper in black cherry and berry fruit character with a layering of toasty cinnamon and oak. The aroma tends to the earthy/pastoral.",US,Pinot Noir,88,35.0
4079,"Rounded by small amounts of Merlot, Malbec and Petit Verdot, this Cab is earthy and lean on entry, before developing in the glass into juicy dark cherry and leathery notes. Smooth, integrated oak and tannin leave an impression in terms of texture, with a persistence of tannin on the finish.",US,Cabernet Sauvignon,90,53.0
90207,"Crisply aromatic, this is a light, bright wine. Citrus fruit and a tangy orange and mineral texture create a light, bright aftertaste. It is refreshing and ready to drink.",Portugal,Portuguese White,84,10.0
27495,"Merlot makes up just over half of this wine, with Cabernet Sauvignon (39%) playing second fiddle and Cabernet Franc and Malbec rounding it out. It's expressive, with aromas of fig, golden raisins, eucalyptus and red fruit, with the aromas seeming slightly dried out. The palate is fruit forward and textured, while still showing restraint and length.",US,Bordeaux-style Red Blend,89,28.0
78888,"This wine's sharply etched, bright pineapple and underripe peach flavors gain depth from aging in 13% new French oak. A touch of honeyed apple and butterscotch lingers on the finish. Drink now through 2022.",US,Chardonnay,90,38.0
42424,"A blend of Syrah and Sangiovese, this salmon-colored wine opens with aromas of peach blossom and honeysuckle. The palate doles out juicy red cherry, nectarine, pink grapefruit and a hint of Mediterranean herb alongside zesty acidity.",Italy,Red Blend,88,16.0
128654,"Bright and savory, this charming blend of Sangiovese, Cabernet Sauvignon, Merlot, Syrah and Teroldego doles out juicy wild cherry, black raspberry, cinnamon, white pepper and crushed Mediterranean herb. It's easy drinking and delicious, with supple tannins and fresh acidity. Drink through 2016.",Italy,Red Blend,90,20.0
100495,"While it is still young, the wine is showing great fruit and soft tannins. Juicy black cherries are ripe and full, a sign of the fine vintage. With the acidity and the dry core, the wine should age. Drink from 2018.",France,Gamay,88,22.0
66510,"The 250-year history of the Moreau family is the story of wine: barrel-makers, winery suppliers, viticulturists, winemakers and négociants. The company is now directed by Frédéric Marque. Rich fruit and nutmeg flavors gives this wood-aged wine its ripe and fruity character. It offers zesty lemon and a delicious aftertaste of spiced apple and wood. Drink now.",France,Bordeaux-style White Blend,88,23.0
46386,"Tastes just like a cherry coke, with the heat of alcohol and smoky spice of oak. That's a pleasant, even complex mélange of flavors, even though the structure is simple and direct.",US,Merlot,85,16.0
55424,"This has a big aromatic presence at first, but it elegantly melts into a soft texture and crisp red fruit. It would be a winner with steak.",US,Cabernet Sauvignon,86,10.0
54934,"A sunny touch of peach adds a very fruity edge to the strawberry nose of this vivid, pale-pink sparkler. The frothy mousse is very lively and makes this utterly refreshing, highlighting notes of red apples. The finish is dry and clean-cut.",France,Sparkling Blend,88,20.0
86265,"Jammy cherry and plum aromas turn briary with airing. This wine is candied and jammy in feel, and soft in the middle. Flavors of spiced blueberry are low in depth and fade away with weedy notes.",Chile,Cabernet Sauvignon,83,7.0
117603,"One of the producer's more delicate offerings, this wine from a coastal site is crisp and crunchy in wet stone, black tea and light-bodied renderings of red cherry and pomegranate. Along the way it tells a tale of citrus tanginess and sculptured minerality, finishing with the slightest backbone of textured tannin.",US,Pinot Noir,94,95.0
9237,"The d'Arenberg style favors structure over plushness, even in Grenache. This is crisp and firm, its cranberryish fruit tinged with hints of raspberry, orange zest, cinnamon and clove. Give it a few years to soften. Drink 2020–2030.",Australia,Grenache,91,29.0
26112,"Because he blends shortly after fermentation, Matt Loso's wines attain a seamless complexity early on; it's a hallmark of the winery. This beautifully crafted Claret has no rough edges; in fact, no edges at all. It is a supple, elegant wine, loaded with fruit flavors that run from berry to cherry to plum, while the oak gently adds spice and toast.",US,Red Blend,91,30.0
64859,"This is a very mineral driven wine—the ripe fruit is cut with acidity, green fruits and herbs. Textured and ripe, its freshness is a counterpoint to the full fruit flavors.",France,Chardonnay,91,72.0
117169,"Understated grapefruit and herbal aromas lead the way, framing peach and melon flavors. Round and soft on the palate, then turning a bit chalky on the finish. Drink now.",New Zealand,Sauvignon Blanc,85,14.0
105985,"With ripe blackberry and cherry flavors, the fruit of this dry wine stands out, making it enjoyable despite very tough tannins that currently make it astringently sandpapery. A good effort, although the challenge for Unti is to tame those fierce tannins.",US,Syrah,87,26.0
7293,"A lovely ethereal lift of lemon balm hovers over ripe peach notes on the nose. The dry palate brings in lots of lemon freshness as well as tangy grapefruit. The finish is spicy, clean and utterly refreshing.",France,Edelzwicker,90,19.0
126270,"Rubbery, herbaceous aromas of iodine, grass and black olive are challenging to say the least. This is high in tartaric acid, with saucy, herbal berry flavors that finish with residual olive notes.",Chile,Carmenère,84,13.0
15849,"This is a finely structured wine with dark tannins and intense black fruits. The estate, with its biodynamically grown fruit, has given an impressively pure wine, packed with tight serious tannins and a fine structure of black-plum skins and intense acidity. It is direct, firm and with a huge potential over many years. Drink from 2027.",France,Bordeaux-style Red Blend,96,110.0
918,"This opens with aromas of toasted oak, roasted coffee bean and a whiff of sawdust. The bracing palate offers dried cherry, espresso and mocha alongside astringent tannins. Give the tannins another year or two to unwind then drink to capture the remaining fruit.",Italy,Nebbiolo,87,50.0
19136,"A spectacularly sweet and rich bruiser, and one that delivers the essence of raisins, toffee and chocolate. This wine hasn't taken one turn south, and it's beckoning to be consumed. The finish is impeccably smooth and rich, and while its luscious to say the least, the amazing thing is its length, which runs a couple of minutes, no joke. A guarantee for anyone who loves the hedonistic combination of sweet fruit, brown sugar and chocolate.",Spain,Sherry,94,14.0
2129,"This opens has a bold appearance with dark extraction. The aromas that follow are reminiscent of ripe cherry, cinnamon spice, plum and pulpy black fruit. Round and soft, this closes with firm grittiness.",Italy,Nebbiolo,88,15.0
16017,"This is a wine that offers lots of class at a very good price. It's marked by flavors of streamlined citrus fruit, Asian pear, honey and a hint of buttered toast. It finishes thoroughly dry. With nearly 37,000 cases produced, this should be relatively easy to find.",US,Chardonnay,89,22.0
25844,"A fine bottle at a great price, this fresh and clean-tasting Sauvignon Blanc offers a bracing mix of tree fruit, with just a touch of sweet herb. It's clearly varietal: no frills, just straightforward and very nicely made.",US,Sauvignon Blanc,88,8.0
98483,"Ripe blackberry, smoked pork and black sage aromas show on the nose of this blend of 51% Grenache, 45% Syrah and 4% Mourvèdre. There is lots of energy on the sip, with lighter olallieberry flavors mixing with savory teriyaki, black peppercorn and Sichuan pepper spice.",US,G-S-M,91,26.0
77937,"Ripe Cabernet gives this wine a great start in life. Juicy black currant is underpinned by the wood aging and tannins, giving a wine that is fruity while still structured. Drink from 2017.",France,Bordeaux-style Red Blend,87,20.0
61748,"This is a crisp, lightly perfumed wine with attractive apple acidity and touches of grapefruit. The texture is soft, with a bright aftertaste. Drink now.",France,Chardonnay,85,
126803,"This sweet wine balances acidity with honeyed fruit. There is a touch of botrytis to go with the orange marmalade and lemon peel flavors, while the citrus-like acids cut across the palate. This is fine to drink now, yet it will also age for many years.",France,Petit Manseng,90,19.0
42774,"This Merlot gets your basic dry, full-bodied red wine job done in an inexpensive way. It has raisiny flavors and lots of crunchy acidity.",US,Merlot,82,8.0
73397,"Alluring aromas of orange peel. Dried apricot, spices and cigarbox lead this historic dessert wine from Cyprus. On the palate, waves of bitter orange, cedar and sweet tobacco unfold. The finish is spicy with a honeyed sweet undertone. Fantastic with nuts.",Cyprus,Xinisteri,89,20.0
78223,This is a very young wine with a long life ahead of it. It's the ultimate Alsace combination of botrytis and Riesling. Brisk acidity and steely structure combine with flavors of ripe honey and dried apricots to yield an impressive wine. Drink from 2016.,France,Riesling,93,45.0
44784,"Made entirely from Chardonnay, this benchmark New York sparkling wine balances pristine apple and lemon against layers of complex toast, caramel and crushed mineral nuances. Brut in style, it calibrates spine tingling acidity against a palate that's supple and ripe. Bold, mouthfilling bubbles dissipate elegantly through a long finish.",US,Champagne Blend,93,45.0
7527,"The last vintage that the Melvilles are pulling from this Los Alamos Valley vineyard, this wine shows a complex nose of lemon candy, dill and fresh oregano. There is plenty of tension and grip on the palate, thanks to the lime-pith flavors, but a show of white flowers like tuberose keeps it properly ripe.",US,Chardonnay,92,24.0
15465,"Aromas of meat juices, underbrush, savory spice and a whiff of espresso open this structured wine. The vibrant palate offers dried Morello cherry, fleshy raspberry, ground pepper, grilled herb and tobacco alongside bracing but fine-grained tannins and fresh acidity. Hold for more complexity. Drink 2018–2030.",Italy,Sangiovese,93,
108683,"Very faint peach notes break through the lemony freshness of this slender, golden wine. The usually richer, more sumptuous nature of Zierfandler shines through on the textured palate and in the glimpses of generous oiliness that flank the edges of the central citrus focus. This is lovely now but will reward cellaring. The finish is poised and clean-cut, lemony and long.",Austria,Zierfandler,92,19.0
117392,"This Chardonnay, Sémillon, Sauvignon Blanc and Viognier blend is a good, all-purpose white wine but lacks focus.",US,White Blend,85,14.0
51641,"This is one of the better Temecula Valley wines in recent memory, with dried blackberry, leather, tar and condensed purple flowers on the nose. There's a kiss of herbs upfront on the palate, followed by layers of tangy boysenberry, caramel and salt and pepper flavors. The structure is apparent but not in the way, and the acidity is lively.",US,Syrah,93,48.0
124591,"This is an elegant and refined Barolo with focused aromas of black fruit, drying mineral and root beer. There's also a playful side that emerges thanks to the wine's ripe and plush mouthfeel. Sure, it's a structured, tannic wine but its fine texture helps make it approachable within the next five years or so.",Italy,Nebbiolo,92,75.0
10024,"Solid tannins lead into a wine that balances very dry, dark fruits with dense wood textures. It's a solid, chunky, bold wine, richly fruity and still young. Drink this firm, ageworthy wine from 2016.",Portugal,Portuguese Red,91,18.0
14895,"In almost any other producer's lineup, this would be deemed a success, but in the context of Rippon's exalted reputation, this is a bit of a disappointment. Ripe pear, melon and citrus flavors are off dry and marked by floral notes, finishing clean and mouthwatering, but don't have much of the expected complexity.",New Zealand,Gewürztraminer,87,32.0
71865,"88–90. Barrel sample. Juicy and fruity, this wine has brisk acidity and fresh fruit flavors, along with a bitter edge of dark chocolate.",France,Bordeaux-style Red Blend,89,
121042,"Full and weighty, this vineyard-designate is salty and floral, offering whiffs of orange blossom around lime zest and brine. The minerality shines through despite the size, making for a food-friendly, yet hedonistic wine.",US,Sauvignon Blanc,88,32.0
47464,"Full and ripe, this is a lemon and crisp apple flavored wine. There is a hint of toast from the six months in barrel that also adds a little pepper. Fine acidity and a tangy texture suggests it could age. Drink this wine from 2017.",Portugal,Portuguese White,89,13.0
14264,"Rich and easy, this has jammy raspberry, cherry, milk chocolate, anise and sandalwood flavors. Earns extra points for the velvety texture and smooth, spicy finish.",US,Merlot,86,25.0
25285,"This bright, brambly red blend of two Turkish grapes, the Öküzgözü and the Bogazkere, is brisk and bold on the palate with a striking red cherry acidity. It's delicate in fruit profile, but lushly textured with layers of fine, chalky tannins that penetrate deeply on the finish.",Turkey,Red Blend,86,25.0
94451,"This elegant wine is all about silky texture and balance. It delivers crushed flower, sour cherry, black raspberry, cinnamon and balsamic sensations alongside supple tannins and vibrant acidity. It's already accessible but is still young and promises to blossom into a Barolo with complexity and depth. Drink 2020–2040.",Italy,Nebbiolo,95,65.0
25774,"Lemony and high-strung, this is a light, bright and low-in-oak wine from an appellation better known for varieties like Zinfandel and Sauvignon Blanc. It works though, providing a tension of acidity with citrusy concentration.",US,Chardonnay,87,20.0
5831,"A well-structured steak wine, this Shiaz wraps chocolate, lush berry and meaty aromas and flavors into a full body, with chewy tannins and a savory, juicy finish.",Australia,Shiraz,88,16.0
54517,"This wine conveys a powerful sense of extraction and nuttiness, with aromas of caramelized nuts, marzipan, honey, toasted oak and even some marshmallow. It's quite quaffable on the palate—rich, nutty and honey-like, but with zesty acidity that wraps it all together.",US,Chardonnay,90,39.0
129711,"A rounded wine, benefiting from the fruitiness of the year to give soft tannins, ripe strawberry fruits and an attractive acidity. The wine is ready to drink, although could age a few months.",France,Pinot Noir,86,19.0
107043,"Delicious fruit aromas and abundant spices waft up from the glass. The flavors follow suit, with ripe plum, strawberry and cinnamon all well supported by firm acidity and a medium-to-full body. This is a well-rounded wine that's easy to enjoy.",US,Pinot Noir,91,30.0
6905,"This eponymous label of winemaker Nathaniel Rose is one of his many endeavors in the Michigan wine scene. While the name “Left Bank” evokes Bordeaux, this is clearly a New World-style red, boasting bouncy fruit aromas of dark cherry and spiced raspberry, with cola and cough-syrup notes in the background. The medium-bodied palate is supported by grainy tannins, yet there's a good balance of juicy, red fruit and streaks of granite.",US,Cabernet Sauvignon,87,250.0
24585,"Winemaker Kevin Mitchell has been gradually refining his style, pulling back on alcohol and oak without sacrificing fruit intensity. This is a fruit-driven Cabernet, loaded with black cherries and cassis and supported by restrained, just-right oak levels. It's medium-bodied, softly dusty yet firm, with a surprisingly long finish. Drink now–2025.",Australia,Cabernet Sauvignon,91,20.0
91426,"Agiorgitiko, famed in Nemea and popular for its soft, fragrant red berry character, is represented well in this balanced, flavorful wine. A nose of wooded spice, pepper and Mediterranean herbs is followed by waves of soft tannis, red fruit, spice and a touch of smoke. Pair with steak or a meat stew.",Greece,Agiorgitiko,87,16.0
98287,"This is fruit-powered Riesling, finished dry but with a touch of residual sugar to soften the acids. Apple and Meyer lemon fruit flavors intermingle, sporting abundant, juicy natural acidity.",US,Riesling,91,30.0
8005,"Some creamy yeasty tones are supported by background notes of banana and apricot and give this Soave Classico a rich, generous mouthfeel. Pair this wine with pasta, eggplant sauce and mozzarella.",Italy,Garganega,87,15.0
26861,"Based for three generations in Chouilly on the Côte des Blancs, this producer offers a nonvintage Champagne that is attractively fruity, soft and creamily textured. Bright acidity is balanced by pear and white-peach flavors. This fruity wine is ready to drink.",France,Champagne Blend,90,42.0
118972,"Light in color, this über aromatic wine conveys flowers, black and green olive, mineral, peat and smoke. The palate is all about elegance of expression and texture, with smoked meat and coffee flavors that linger.",US,Syrah,94,80.0
121070,"Grown at the winery's estate vineyard high up in Annapolis, where the ocean looms large, this is a tannic, smoky wine, densely layered in blue and black fruit. Cola, sage and black tea await in the background.",US,Pinot Noir,90,35.0
50730,"This wine shows what a fine place Dry Creek Valley is for growing Sauvignon Blanc. With no oak at all, it's clean and brisk in citrusy acidity, with refreshing peach, lime, green grass, tropical fruit and spice flavors.",US,Sauvignon Blanc,90,18.0
117034,"Von Schubert bottled two eisweins from the Herrenberg in 2009. This one is pale in color, with intense pineapple and honey flavors. The wine is sweet, luscious and viscous yet never cloying, with a long finish that features unfolding layers of fruit flavor.",Germany,Riesling,96,228.0
49081,"This is an attractive, ripe red-fruited wine that is showing its best already. Soft tannins, juicy red berries and a light shot of acidity all come together easily and freshly. Drink now. Screwcap.",Austria,Zweigelt,87,22.0
48082,"This offers subtle fruit characteristics, with scents of violet and rose in the background. A bright cherry flavor appears on the palate, where the wine delivers a syrupy, soft sweetness.",Italy,"Corvina, Rondinella, Molinara",88,
71258,"Waxy crayon, petrol and steely lemon aromas mark the closed bouquet. The palate shows some decent weight, yet disparate acids give a sharp feeling. Citrus races from start to finish, with a slight char marking the close.",US,Viognier,84,34.0
30255,"Ripe and also tannic, this is structured wine, its berry fruits pushing through a dry plum skin texture. It is solid and chunky while remaining fresh and fruity.",France,Gamay,86,
2160,"Aromas of plum, violet and a whiff of spice emerge on this extremely simple red. The short diluted palate suggests red cherry and a hint of vanilla alongside frail tannins.",Italy,Montepulciano,84,
74406,"This smells like butterscotch and ripe pear, tastes floral like honeysuckle and has an almost sweet feeling on the tongue. It's smooth, medium-bodied, soft in texture and easy to swallow, while delivering lots of clean, fresh fruit flavor.",US,Viognier,87,24.0
95867,"A full, round wine that tastes of the hot, dry climate of the Alentejo, with its ripe fruits, light structure and low acidity. It is a wine for food, its simple textures a great accompaniment to spicy dishes.",Portugal,Portuguese White,84,14.0
1468,"The partner label of Black Cordon, also made by consulting winemaker Paul Hobbs, this entry-level offering blends small amounts of all the red Bordeaux varieties and ages in 80% new French oak. Tar and graphite scents and bold, soft acidity support juicy black and red berry flavors, with a shock of anise. Best enjoyed 2023 through 2033.",US,Cabernet Sauvignon,93,60.0
98967,"From the celebrated 2004 vintage, this expression of Barbera offers solid and correct aromas of ripe fruit, raspberries, wet earth and leather. The wine is bright and incredibly generous in terms of intensity and purity of the fruit flavors.",Italy,Barbera,88,20.0
126550,"Produced in the typical flinty (silex) soil of parts of Sancerre, this wine has a crisp steely texture that is balanced by the ripe yellow fruit. The combination is both taut and ripe, giving good balance and tension. Drink this wine from 2017 to allow it to develop further.",France,Sauvignon Blanc,91,29.0
2107,"You don't think of Livermore Valley as Pinot territory, but this is a pretty nice wine. It's medium-bodied and silky, with pleasurable flavors of cherries, red currants, cola, vanilla and smoke, and a long, sweetly spicy finish.",US,Pinot Noir,87,24.0
82335,"Loads of fruit show on the nose of this wine: green and red apple, strawberry and ample, zesty citrus. The palate is taut, fresh, dry and precise, shot through with appetizing fruity flavors. A wonderful, flavorsome rosé, with or without food.",Austria,Rosé,90,14.0
75627,"93-95 Barrel sample. A firm wine, with great juiciness, ripeness, showing the freshness of the year as well as ripe fruits.",France,Bordeaux-style Red Blend,94,
76506,"Full and robust, but also brambly and a touch green and minty on the nose. The palate is thick, creamy and rough, with herbal berry and dry oak flavors. Finishes herbal and chocolaty.",Argentina,Bonarda,84,13.0
27585,"This fruitless Garnacha Blanca smells a bit too much like rotting compost. A plump palate holds bitter flavors in front of a pithy finish. Overall, there's very little that's good about this.",Spain,Garnacha Blanca,81,12.0
104874,"Raspberry and cherry aromas are mild while not stirring much excitement. This feels a bit raw and tannic, but it's got enough body to hold up. Berry and plum flavors finish with hints of spice and chocolate.",Argentina,Cabernet Sauvignon,87,17.0
